"TestName"	"Source"	"TestAbbreviation"	"QuestionNumber"	"Question"	"Format"	"PossibleValues"	"Units"	"StataVariableName"	"Calculated"	"Seattle"	"Portland"	"Cincinnati"	"EmoryFU"	"EmoryBL"	"PennBL"	"UCLABL"	"JHU"	"Notes"
"WAIS Digit Span Task"	"WMS-R"	"Digit Span"	"NA"	"Digit span score"	"Numeric"	"0-24"	"number of digits"	"digits_total_score"	"Y"	"yes"	"yes"			"yes"	"no"	"no"		
"WAIS Digit Symbol Substitution Test"	"WMS-R"	"Digit Symbol"	"NA"	"Age at Digit Symbol Administration"	"Numeric"	">=0"	"Years"	"age_wais"	"Y"	"yes"	"yes"			"yes"	"no"	"yes"		
"WAIS Digit Symbol Substitution Test"	"WMS-R"	"Digit Symbol"	"NA"	"Total Attempted"	"Numeric"	"0-93"	"Attempted"	"wais_digit_symbol_completed"		"yes"	"yes"			"no"	"no"	"no"		
"WAIS Digit Symbol Substitution Test"	"WMS-R"	"Digit Symbol"	"NA"	"Total Errors"	"Numeric"	"0-93"	"Errors"	"wais_digit_symbol_errors"		"yes"	"yes"			"no"	"no"	"no"		
"WAIS Digit Symbol Substitution Test"	"WMS-R"	"Digit Symbol"	"NA"	"Total Correct"	"Numeric"	"0-93"	"Correct"	"wais_digit_symbol_score"		"yes"	"yes"			"yes"	"no"	"no"		
"Phonemic Verbal Fluency"	"60 seconds"	"Verbal Fluency"	"NA"	"Age at Phonemic Verbal Fluency Administration"	"Numeric"	">=0"	"Years"	"age_verb_flu"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Phonemic Verbal Fluency"	"60 seconds"	"Verbal Fluency"	"NA"	"Total Letter F Words"	"Numeric"	"0-60"	"Words"	"f_words_flu"		"yes"	"yes"			"yes"	"no"	"yes"		
"Phonemic Verbal Fluency"	"60 seconds"	"Verbal Fluency"	"NA"	"Total Letter A Words"	"Numeric"	"0-60"	"Words"	"a_words"		"yes"	"yes"			"yes"	"no"	"yes"		
"Phonemic Verbal Fluency"	"60 seconds"	"Verbal Fluency"	"NA"	"Total Letter S Words"	"Numeric"	"0-60"	"Words"	"s_words"		"yes"	"yes"			"yes"	"no"	"yes"		
"Phonemic Verbal Fluency"	"60 seconds"	"Verbal Fluency"	"NA"	"Sum of Total F Words, A Words, and S Words"	"Numeric"	"0-180"	"Words"	"fas_sum"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Category Fluency"	"60 seconds"	"Categorical Fluency"	"NA"	"Age at Categorical Verbal Fluency Administration"	"Numeric"	">=0"	"Years"	"age_cat_flu"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Category Fluency"	"60 seconds"	"Categorical Fluency"	"NA"	"Total Animals"	"Numeric"	"0-60"	"Words"	"animals"		"yes"	"yes"			"yes"	"yes"	"yes"		
"Category Fluency"	"60 seconds"	"Categorical Fluency"	"NA"	"Total Vegetables"	"Numeric"	"0-60"	"Words"	"vegetables"		"yes"	"yes"			"no"	"no"	"yes"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"Age at HVLT Administration"	"Numeric"	">=0"	"Years"	"age_hvlt"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"Learning trial 1 correct"	"Numeric"	"0-12"	"Correct"	"hvlt_trial1"		"yes"	"yes"			"yes"	"yes"	"yes"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"Learning trial 2 correct"	"Numeric"	"0-12"	"Correct"	"hvlt_trial2"		"yes"	"yes"			"yes"	"yes"	"yes"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"Learning trial 3 correct"	"Numeric"	"0-12"	"Correct"	"hvlt_trial3"		"yes"	"yes"			"yes"	"yes"	"yes"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"End time for HVLT Trial 3"	"Time"	"12:00 am - 11:59pm"	"Time"	"hvlt_trial3_end"		"yes"	"yes"			"no"	"no"	"no"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"Delayed Recall Trial 4 correct"	"Numeric"	"0-12"	"Correct"	"hvlt_trial4_correct"		"yes"	"yes"			"yes"	"yes"	"yes"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"Start time for HVLT Trial 4"	"Time"	"12:00 am - 11:59pm"	"Time"	"hvlt_trial4_start"		"yes"	"yes"			"no"	"no"	"no"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"Elapsed time between the end of Trial 3 and beginning of Trial 4"	"Numeric"	">=0"	"minutes"	"hvlt_elapsed_time"		"no"	"no"			"no"	"no"	"no"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"Forced Choice Total number of true-positive responses."	"Numeric"	"0-12"	"Correct"	"hvlt_true_positive"		"yes"	"yes"			"yes"	"no"	"yes"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"Forced Choice Semantically-related false-positive errors"	"Numeric"	"0-6"	"Errors"	"hvlt_false_positive_semantic"		"yes"	"yes"			"no"	"no"	"no"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"Forced Choice Semantically-unrelated false-positive errors"	"Numeric"	"0-6"	"Errors"	"hvlt_false_pos_not_semantic"		"yes"	"yes"			"no"	"no"	"no"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"Forced Choice Total number of false-positive errors"	"Numeric"	"0-12"	"Errors"	"hvlt_false_positive_total"		"yes"	"yes"			"yes"	"no"	"yes"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"Intrusion Errors"	"Numeric"	"0-25"	"Errors"	"hvlt_intrusion_errors"		"no"	"no"	"no"	"no"	"no"	"no"	"yes"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"Perseveration Errors"	"Numeric"	"0-50"	"Errors"	"hvlt_preservation_errors"		"no"	"no"	"no"	"no"	"no"	"no"	"yes"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"HVLT Total Recall (Sum of Trials1-3 Correct)"	"Numeric"	"0-36"	"Correct"	"hvlt_total_recall"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"HVLT Retention (Trial 4 divided by Higher Score of Trials 2 and 3)*100"	"Numeric"	"0-100"	"Percentage"	"hvlt_retention"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Hopkins Verbal Learning Test"	"PaNUC"	"HVLT"	"NA"	"HVLT Recognition Discrimination Index (Total True Positives minus Total False Positives)"	"Numeric"	">=-12 & <=12"		"hvlt_RDI"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Judgement of Line Orientation"	"15 Odd Items"	"JOLO"	"NA"	"Age at JOLO Administration"	"Numeric"	">=0"	"Years"	"age_jolo"	"Y"	"yes"	"yes"			"yes"	"yes"	"no"		
"Judgement of Line Orientation"	"15 Odd Items"	"JOLO"	"NA"	"Test Items ""a"" correct"	"Numeric"	"0-15"	"Correct"	"jolo_a_correct"		"yes"	"yes"			"no"	"no"	"no"		
"Judgement of Line Orientation"	"15 Odd Items"	"JOLO"	"NA"	"Test items ""b"" correct"	"Numeric"	"0-15"	"Correct"	"jolo_b_correct"		"yes"	"yes"			"no"	"no"	"no"		
"Judgement of Line Orientation"	"15 Odd Items"	"JOLO"	"NA"	"Total (both a & b ) correct"	"Numeric"	"0-15"	"Correct"	"jolo_total_correct"		"yes"	"yes"			"yes"	"yes"	"no"		
"Letter-Number Sequencing Test"	"PD-Doc"	"LNST"	"NA"	"Age at LNST Administration"	"Numeric"	">=0"	"Years"	"age_lnst"	"Y"	"yes"	"yes"			"no"	"yes"	"yes"		
"Letter-Number Sequencing Test"	"PD-Doc"	"LNST"	"NA"	"Total Score"	"Numeric"	"0-21"	"Score"	"letter_number_sequencing_total"		"yes"	"yes"			"no"	"yes"	"yes"		
"Logical Memory Test"	"Story A"	"Logical Memory"	"NA"	"Age at Logical Memory Administration"	"Numeric"	">=0"	"Years"	"age_log_mem"	"Y"	"yes"	"yes"			"yes"	"no"	"yes"		
"Logical Memory Test"	"Story A"	"Logical Memory"	"NA"	"Total Immidiate Story Units Recalled"	"Numeric"	"0-25"	"Score"	"logical_memory_immediate"		"yes"	"yes"			"yes"	"no"	"yes"		
"Logical Memory Test"	"Story A"	"Logical Memory"	"NA"	"Total Delayed Story Units Recalled"	"Numeric"	"0-25"	"Score"	"logical_memory_delayed"		"yes"	"yes"			"yes"	"no"	"yes"		
"Logical Memory Test"	"Story A"	"Logical Memory"	"NA"	"Recognition Total Score for Story A"	"Numeric"	"0-15"	"Score"	"logical_memory_recognition"		"yes"	"yes"			"no"	"no"	"no"		
"Mattis"	"PaNUC"	"Mattis"	"NA"	"Age at Mattis Administration"	"Numeric"	">=0"	"Years"	"age_mattis"	"Y"	"yes"	"yes"			"no"	"yes"	"no"		
"Mattis"	"PaNUC"	"Mattis"	"NA"	"ATT Total Score (ATT1+ATT2+ATT3)"	"Numeric"	"0-37"	"Score"	"mattis_att_total_raw"		"yes"	"yes"			"no"	"yes"	"no"		
"Mattis"	"PaNUC"	"Mattis"	"NA"	"I/P Total Score (I/P1+I/P2)"	"Numeric"	"0-37"	"Score"	"mattis_ip_total_raw"		"yes"	"yes"			"no"	"yes"	"no"		
"Mattis"	"PaNUC"	"Mattis"	"NA"	"Task E"	"Numeric"	"0-20"	"Score"	"mattis_task_e"		"yes"	"yes"			"no"	"no"	"no"		
"Mattis"	"PaNUC"	"Mattis"	"NA"	"CONST Score"	"Numeric"	"0-6"	"Score"	"mattis_construction_total_raw"		"yes"	"yes"			"no"	"yes"	"no"		
"Mattis"	"PaNUC"	"Mattis"	"NA"	"CONCEPT Score"	"Numeric"	"0-39"	"Score"	"mattis_concept_total_raw"		"yes"	"yes"			"no"	"yes"	"no"		
"Mattis"	"PaNUC"	"Mattis"	"NA"	"Task W"	"Numeric"	"0-8"	"Score"	"mattis_task_w"		"yes"	"yes"			"no"	"no"	"no"		
"Mattis"	"PaNUC"	"Mattis"	"NA"	"MEM Total Score (MEM1+MEM2)"	"Numeric"	"0-25"	"Score"	"mattis_memory_total_raw"		"yes"	"yes"			"no"	"yes"	"no"		
"Mattis"	"PaNUC"	"Mattis"	"NA"	"Mattis Total Score"	"Numeric"	"0-144?"	"Score"	"mattis_total_score"	"Y"	"yes"	"yes"			"no"	"yes"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"NA"	"Age at MMSE Administration"	"Numeric"	">=0"	"Years"	"age_mmse"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Orientation to Time"	"What year is it?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_year_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Orientation to Time"	"What month is it?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_month_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Orientation to Time"	"What is the date?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_date_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Orientation to Time"	"What day of the week is it?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_day_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Orientation to Time"	"What is the season?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_season_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Orientation to Place"	"What state are we in?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_state_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Orientation to Place"	"What county are we in?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_county"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Orientation to Place"	"What city are we in?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_city_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Orientation to Place"	"What is this building?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_place_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Orientation to Place"	"What floor of the building are we on?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_floor"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Registration"	"Word 1, Word 2, Word 3 (Shoes, Black, Modesty)"	"Numeric"	";0;1;2;3;-900;-901;-902;-903"	"Correct"	"repeat_words_1_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Attention"	"Spell WORLD backwards - ""D""	""Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"spell_world_d"		"yes"	"yes"			"no"	"no"	"no"			
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Attention"	"Spell WORLD backwards - ""L""	""Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"spell_world_l"		"yes"	"yes"			"no"	"no"	"no"			
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Attention"	"Spell WORLD backwards - ""R""	""Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"spell_world_r"		"yes"	"yes"			"no"	"no"	"no"			
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Attention"	"Spell WORLD backwards - ""O""	""Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"spell_world_o"		"yes"	"yes"			"no"	"no"	"no"			
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Attention"	"Spell WORLD backwards - ""W""	""Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"spell_world_w"		"yes"	"yes"			"no"	"no"	"no"			
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Recall"	"Word 1 (shoes)"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"recall_shoes_1_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Recall"	"Word 2 (black)"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"recall_black_1_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Recall"	"Word 3 (modesty)"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"recall_modesty_1_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Naming"	"What is this: Pen/pencil; Watch"	"Numeric"	"0-2"	"Score"	"name_objects_a_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Repetition"	"No ifs, ands or buts"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"ifs_ands_buts"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Comprehension"	"Take this paper in your right hand, fold it in half, and put it on the floor (or table)"	"Numeric"	"0-3"	"Score"	"paper_fold_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Reading"	"Close your eyes"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"close_eyes"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Writing"	"Please write a sentence"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"write_sentence"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"Drawing"	"Draw intersecting pentagons"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_pentagon"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"NA"	"Subject state - level of consciousness"	"String"	"NA"		"level_of_consciousness_mmse"		"yes"	"yes"			"no"	"no"	"no"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"NA"	"MMSE Total Score"	"Numeric"	"0-30"	"Score"	"mmse_score"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Mini-Mental State Exam"	"PaNUC"	"MMSE"	"NA"	"MMSE Total Score (total score is calculated, even is a sub-score is missing)"	"Numeric"	"0-30"	"Score"	"mmse_score_miss_ok"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"NA"	"Age at MoCA Administration"	"Numeric"	">=0"	"Years"	"age_moca"	"Y"	"yes"	"yes"			"yes"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"1. Alternative Trail Making; Visuospatial/Executive"	"Trails"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"moca_trails"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"1. Alternative Trail Making; Visuospatial/Executive"	"Trails errors"	"Numeric"	"0-10"	"Errors"	"moca_trails_errors"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"2. Visuoconstructional Skills (Cube); Visuospatial/Executive"	"Copy cube task"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"copy_cube"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"3. Visuoconstructional Skills (Clock); Visuospatial/Executive"	"Draw clock contour"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_clock_contour"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"3. Visuoconstructional Skills (Clock); Visuospatial/Executive"	"Draw clock numbers"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_clock_numbers"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"3. Visuoconstructional Skills (Clock); Visuospatial/Executive"	"Draw clock hands"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_clock_hands"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"3. Visuoconstructional Skills (Clock); Visuospatial/Executive"	"Draw clock number 1"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_clock_1"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"3. Visuoconstructional Skills (Clock); Visuospatial/Executive"	"Draw clock number 2"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_clock_2"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"3. Visuoconstructional Skills (Clock); Visuospatial/Executive"	"Draw clock number 4"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_clock_4"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"3. Visuoconstructional Skills (Clock); Visuospatial/Executive"	"Draw clock number 5"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_clock_5"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"3. Visuoconstructional Skills (Clock); Visuospatial/Executive"	"Draw clock number 7"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_clock_7"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"3. Visuoconstructional Skills (Clock); Visuospatial/Executive"	"Draw clock number 8"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_clock_8"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"3. Visuoconstructional Skills (Clock); Visuospatial/Executive"	"Draw clock number 11"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_clock_11"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"3. Visuoconstructional Skills (Clock); Visuospatial/Executive"	"Draw clock number 12"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_clock_12"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"3. Visuoconstructional Skills (Clock); Visuospatial/Executive"	"Draw clock number short hand"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_clock_short_hand"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"3. Visuoconstructional Skills (Clock); Visuospatial/Executive"	"Draw clock number long hand"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"draw_clock_long_hand"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"4. Naming"	"Naming three animals"	"Numeric"	"0-3"	"Score"	"three_animals"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"5. Memory"	"1st Trial (repeat list of 5 words)"	"Numeric"	"0-5"	"Score"	"word_registration_1"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"5. Memory"	"2nd Trial (repeat list of 5 words)"	"Numeric"	"0-5"	"Score"	"word_registration_2"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"6. Attention"	"Forward digit span"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"digits_up"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"6. Attention"	"Backward digit span"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"digits_back"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"6. Attention"	"Letter ""A"" list errors (Vigilance errors)"	"Numeric"	"0-n"	"Errors"	"letter_a_list_errors"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"6. Attention"	"Letter ""A"" list correct (score=1 if 0 or 1 errors, else score=0)"	"Numeric"	"0;1"	"Errors"	"letter_a_list_correct"	"Y"	"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"6. Attention"	"Serial 7's Correct subtractions"	"Numeric"	"0-5"	"Score"	"subtract_7_correct"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"6. Attention"	"Serial 7's score (score=0 if 0 correct, =1 if 1 correct; =2 if 2 or 3 correct; =3 if 4 or 5 correct)"	"Numeric"	"0-5"	"Score"	"subtract_7_score"	"Y"	"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"7. Sentence Repetition; Language"	"Repeat: ""I only know that John is the one to help today.""	""Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"repeat_sentence_1"		"yes"	"yes"			"no"	"yes"	"no"			
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"7. Sentence Repetition; Language"	"Repeat: ""The cat always hid under the couch when dogs were in the room.""	""Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"repeat_sentence_2"		"yes"	"yes"			"no"	"yes"	"no"			
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"8. Verbal Fluency; Language"	"Fluency/Name maximum number of words in 1 minute that begin with the letter F (total words in 60 seconds)"	"Numeric"	">=0"	"Words"	"f_words_moca"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"8. Verbal Fluency; Language"	"Letter F Words 0-15 seconds"	"Numeric"	">=0"	"Words"	"f_words_15_moca"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"8. Verbal Fluency; Language"	"Letter F Words 15-30 seconds"	"Numeric"	">=0"	"Words"	"f_words_30_moca"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"8. Verbal Fluency; Language"	"Letter F Words 30-45 seconds"	"Numeric"	">=0"	"Words"	"f_words_45_moca"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"8. Verbal Fluency; Language"	"Letter F Words 45-60 seconds"	"Numeric"	">=0"	"Words"	"f_words_60_moca"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"8. Verbal Fluency; Language"	"Fluency/Name maximum number of words in 1 minute that begin with the letter F (score=1 if >=11 words, else score=0)"	"Numeric"	"0;1"	"Score"	"f_words_score"	"Y"	"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"9. Abstraction"	"Similarity between train-bicycle"	"Nominal Code"	"0 (0 points)=Incorrect response; 1 (0 points)=Concrete response; 2 (1 point)=Abstract response"	"Score"	"similarity_train"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"9. Abstraction"	"Similarity between watch-ruler"	"Nominal Code"	"0 (0 points)=Incorrect response; 1 (0 points)=Concrete response; 2 (1 point)=Abstract response"	"Score"	"similarity_watch"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"9. Abstraction"	"Similarity between train-bicycle score (1 if similarity_train=""Abstract Response"", else 0)"	"Numeric"	"0;1"	"Score"	"similarity_train_score"	"Y"	"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"9. Abstraction"	"Similarity between watch-ruler score (1 if similarity_watch=""Abstract Response"", else 0)"	"Numeric"	"0;1"	"Score"	"similarity_watch_score"	"Y"	"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"10. Delayed Recall"	"Uncued correct"	"Numeric"	"0-5"	"Score"	"delayed_uncued"		"yes"	"yes"			"no"	"yes"	"no"		
